"id";"contract_award_id";"contract_naics_description";"contract_award_description";"contract_parentagency";"contract_currentval";"contract_recipient";"contract_naics";"contract_sop";"contract_date";"contract_stateflag";"contract_agencylogo";"contract_recipient_address";"contract_recipient_district"
11;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"CONSTRUCTION OF THE WEAK ACETIC ACID RECOVERY PROJECT (WAARP) B2 FACILITY AND TANK FARM AT HSAAP.";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
12;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MODIFICATION TO AWARD ON-SITE ANSOL SUPPORT PROJECT AT HSAAP";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
13;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ENGINEERING CHANGE PROPOSAL AWARD FOR DIFFERING SITE CONDITION FOUND DURING ELEVATOR AND LIFT PROJECT P00665.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
14;"DAAH2302C0006";"AIRCRAFT MANUFACTURING";"MY VI BLACK HAWK PRODUCTION CONTRACT FOR UH/HH60M AIRCRAFT.";"DEPARTMENT OF DEFENSE (DOD)";0.0;"SIKORSKY AIRCRAFT CORPORATION";336411;"CT";"2002-09-26";"https://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Connecticut.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"6900 MAIN STREET";3
15;"DAAB0702CP605";"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES";"200206!001483!2100!AB07  !USA COMMUNICATIONS-ELECTRONICS  !DAAB0702CP605  !A!N! !N!                   !20020228!20040331!176263820!176263820!176263820!N!SCALABLE NETWORK TECHNOLOGIES !11022 SANTA MONI";"DEPARTMENT OF DEFENSE (DOD)";0.0;"SCALABLE NETWORK TECHNOLOGIES";541710;"CA";"2019-10-09";"https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"6059 BRISTOL PKWY STE 200";37
16;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ECP FOR NACSAC LOW POINT DRAIN INSTALLATION.";"DEPARTMENT OF DEFENSE (DOD)";442519000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
17;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"DESIGN OF THE OPERATIONS FLASH FURNACE TYPE TREATMENT TECHNOLOGY, INCLUDING AIR POLLUTION CONTROLS.";"DEPARTMENT OF DEFENSE (DOD)";439188000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
18;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THE PURPOSE OF THIS MODIFICATION IS TO REDUCE THE OVERALL VALUE FOR THE ANALYTICAL LAB (MODIFICATION P00653) MODERNIZATION EFFORT BY $1,169.00 DUE TO A REDUCE IN SCOPE.";"DEPARTMENT OF DEFENSE (DOD)";429022000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
19;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"IN SCOPE CHANGE ORDER TO P00684 FEASIBILITY STUDY";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
20;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ADDING FUNDS TO A2B PROJECT, AND ADDING BATCH TESTING TO COMMISSIONING OF A2B";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
21;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THIS CONTRACT IS FOR THE HOLSTON ARMY AMMUNITION PLANT FACILITY CONTRACT - THIS MODIFICATION IS EXECUTED FOR THE PC&H COSTS FOR COMPOSITION B&CH6.";"DEPARTMENT OF DEFENSE (DOD)";438640000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
22;"DAAB0703CJ601";"OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING";"200304!001955!2100!AB07  !USA COMMUNICATIONS-ELECTRONICS  !DAAB0703CJ601  !A!N! !Y!                   !20030130!20040930!175096619!175096619!175096619!N!VIASAT, INCORPORTED           !6155 EL CAMINO R";"DEPARTMENT OF DEFENSE (DOD)";2329650.0;"VIASAT, INC.";334119;"CA";"2003-01-30";"https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"6155 EL CAMINO REAL";49
23;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ADDITIONAL FUNDING FOR WAARP COST OVERRUN.";"DEPARTMENT OF DEFENSE (DOD)";439188000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
24;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"DESIGN FOR NEW FILTRATION AND WASH FACILITY BUILDING E.";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
25;"DAAD1903C0059";"RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES";"200312!000365!2100!AD19  !USA MATERIEL COMMAND ACQUISITION!DAAD1903C0059  !A!N! !N!                   !20030627!20060721!074820838!074820838!069278570!N!R  M  VREDENBURG&CO         !1835 ALEXANDER BEL";"DEPARTMENT OF DEFENSE (DOD)";998465.0;"R.M. VREDENBURG & CO.";541720;"VA";"2003-06-27";"https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4114 LEGATO ROAD";11
26;"DAAH0102C0087";"ALL OTHER SUPPORT SERVICES";"DE-OBLIGATE DORMANT FUNDS FROM CLIN 0006.";"DEPARTMENT OF DEFENSE (DOD)";0.0;"METRIC SYSTEMS CORPORATION";561990;"FL";"2002-05-30";"https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"645 ANCHORS STREET";1
27;"DAAH2303C0345";"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES";"AIRCRAFT MAINTENANCE CONTRACT";"DEPARTMENT OF DEFENSE (DOD)";575923.0;"ARMY FLEET SUPPORT LLC";541990;"AL";"2003-10-01";"https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Alabama.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"1117 DILLY BRANCH RD";2
28;"DABT2301C0030";"ELECTRIC POWER DISTRIBUTION";"ELECTRICAL DISTRIBUTION 2019-2020";"DEPARTMENT OF DEFENSE (DOD)";58104700.0;"NOLIN RURAL ELECTRIC COOPERATIVE CORPORATION";221122;"KY";"2001-05-25";"https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"411 RING RD";2
29;"DAAE0798CN005";"FACILITIES SUPPORT SERVICES";"200611!008251!2100!W56HZV!TACOM - WARREN                  !DAAE0798CN005  !A!N! !N!             !P00032!20060815!20060831!834476079!824825459!217304393!N!BAE SYSTEMS LAND&ARMAMENTS I!1100 BAIRS RD    ";"DEPARTMENT OF DEFENSE (DOD)";0.0;"B A E SYSTEMS LAND AND ARMAMENTS LIMITED PARTNERSH";561210;"PA";"1998-09-04";"https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Pennsylvania.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"1100 BAIRS RD";10
30;"DABT2301C0030";"ELECTRIC POWER DISTRIBUTION";"ELECTRICAL DISTRIBUTION 2019-2020";"DEPARTMENT OF DEFENSE (DOD)";58104700.0;"NOLIN RURAL ELECTRIC COOPERATIVE CORPORATION";221122;"KY";"2001-05-25";"https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"411 RING RD";2
31;"DABT2301C0030";"ELECTRIC POWER DISTRIBUTION";"ELECTRICAL DISTRIBUTION 2019-2020";"DEPARTMENT OF DEFENSE (DOD)";58104700.0;"NOLIN RURAL ELECTRIC COOPERATIVE CORPORATION";221122;"KY";"2001-05-25";"https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"411 RING RD";2
32;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MODIFICATION TO AWARD COMMANDERS OFFICE RENOVATION AND OFFICE FURNITURE PURCHASE PROJECTS.";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
33;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MIF FY20-CORRECTION TO CONTRACT TYPE FIRM FIXED PRICE.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
34;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MODIFICATION TO INCORPORATE FAR 52.204-25 AND INCORPORATE ECP FOR LANDFILL DESIGN.";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
35;"DAAD0570C0096";"ELECTRIC POWER DISTRIBUTION";"THIS MODIFICATION ADDS THE DEFENSE FEDERAL ACQUISITION REGULATION (DFAR) CLAUSE 252.204-7012 TO CONTRACT NUMBER DAAD05-70-C-0096.";"DEPARTMENT OF DEFENSE (DOD)";0.0;"BALTIMORE GAS & ELECTRIC COMPA";221122;"MD";"2004-03-30";"https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"7309 WINDSOR MILL RD";7
36;"DAAB1503C0013";"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES";"200306!005396!2100!AB15  !USA COMMUNICATIONS-ELECTRONICS  !DAAB1503C0013  !A!N! !N!                   !20030326!20070325!152670030!008255408!016435559!N!NORTHROP GRUMMAN SYSTEMS CORPO!2000 W NASA BLVD";"DEPARTMENT OF DEFENSE (DOD)";0.0;"NORTHROP GRUMMAN SYSTEMS CORPO";541710;"FL";"2003-03-26";"https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"2000 W NASA BLVD";15
37;"DAAD0198C0019";"ELECTRIC POWER DISTRIBUTION";"ELECTRICITY AND MAINT OF DIST SYSTEMS";"DEPARTMENT OF DEFENSE (DOD)";0.0;"WELLTON-MOHAWK IRRIGATION & DR";221122;"AZ";"1999-01-12";"https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arizona.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"30570 E WELLTON MOHAWK DR";7
38;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MODIFICATION TO AWARD RIVER WATER UPGRADE CLOSED LOOP STUDY PROJECT.";"DEPARTMENT OF DEFENSE (DOD)";647941000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
39;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THIS REQUIREMENT IS TO INCORPORATE THE CURRENT PROPERTY LISTINGS AND TO OBLIGATE FUNDING FOR PBXW-14 (5,441 POUNDS) PC&H COSTS.";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
40;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ENVIRONMENTAL INSTALLATION RESTORATION SUPPORT PROJECT 2020 AT HSAAP";"DEPARTMENT OF DEFENSE (DOD)";442551000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
41;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"P00700 IS TO PROVIDE FUNDING FOR THE DIRECT FUNDED PWSS G AND K - ONSITE GOVERNMENT STAFF AND MATERIAL MANAGEMENT FOR FISCAL YEAR 2020.";"DEPARTMENT OF DEFENSE (DOD)";429022000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
42;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MAINTENANCE OF INACTIVE FACILITIES (MIF) FY20";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
43;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THIS CONTRACT IS THE FACILITY CONTRACT FOR BAE FOR THE HOLSTON ARMY AMMUNITION PLANT. THIS MODIFICATION IS FOR THE PACKAGING, CRATING AND HANDLING OF PBXN-12 TO DZI KANSAS";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
44;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ENGINEERING CHANGE PROPOSAL FOR THE NATURAL GAS FIRED STEAM FACILITY ADDING NATURAL GAS METER STATION TO PROJECT.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
45;"DABT3901C4003";"NATURAL GAS DISTRIBUTION";"ONG GAS CONTRACT 1 JAN 20 - 31 DEC 20";"DEPARTMENT OF DEFENSE (DOD)";6018210.0;"ONE GAS, INC.";221210;"OK";"2001-04-03";"https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Oklahoma.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"401 N HARVEY AVE";5
46;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"MODIFICATION P00718 IS TO AWARD THE OFF-SITE ANSOL STUDY SUPPORT PROJECT.";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
47;"DAAD0599C0008";"SEWAGE TREATMENT FACILITIES";"MODIFICATION P00108 IS A DEPARTMENT OF THE ARMY FEDERAL ACQUISITION REGULATION (DFAR) REQUIRED MODIFICATION ON CONTRACT# DAAD05-70-C-0093 APG CAPITAL PROJECTS CONTRACT.";"DEPARTMENT OF DEFENSE (DOD)";26281300.0;"CITY OF ABERDEEN";221320;"MD";"2000-05-12";"https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"3 WEST BEL AIR AVENUE";2
48;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THIS REQUIREMENT IS TO DEOBLIGATE FUNDS FOR A REQUIREMENT HAS WAS PREVIOUSLY STARTED AND THEN CANCELLED.";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
49;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"THIS MODIFICATION IS TO CHANGE THE PERFORMANCE COMPLETION DATE OF CLIN 0009GS&CLIN 0009P TO 28 FEB 2020.";"DEPARTMENT OF DEFENSE (DOD)";437376000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
50;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"ADDITIONAL BUILDINGS ADDED TO INVENTORY, MODEL, AND PRIORITIZE EXISTING STATE OF INFORMATION SYSTEMS ARCHITECTURE AT HSAAP";"DEPARTMENT OF DEFENSE (DOD)";623057000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
51;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"NEUTRALIZATION BASIN UPGRADES FOR IWWTF AT HSAAP";"DEPARTMENT OF DEFENSE (DOD)";633617000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
52;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"WAARP&ANSOL ACID TANK FARM DESIGN";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
