ACHC,5247124018,Acadia Healthcare,Tennessee,Acadia%20Healthcare--N00009888,N00009888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,2.15E+11,Adobe Inc,California,Adobe%20Inc--N00042013,N00042013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,80386430626,Automatic Data Processing Inc,New Jersey,Automatic%20Data%20Processing%20Inc--N00033832,N00033832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,19916244804,Ameren Corp,Missouri,Ameren%20Corp--N00030667,N00030667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,41486166669,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEPPL,0,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEPPZ,0,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,10068972091,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGB,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGC,26568357,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGD,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGE,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,35200571683,AFLAC Inc,Georgia,AFLAC%20Inc--N00000575,N00000575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFT,232817262,Apollo,New York,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT,238519518,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT^D,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT^F,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT^G,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT^H,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHT^I,0,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIF,214074817,Apollo,New York,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINV,965183213,Apollo,New York,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,1530981536,AAR Corp,Illinois,AAR%20Corp--N00004981,N00004981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALE,3673440595,Allete Inc,Minnesota,Allete%20Inc--N00041511,N00041511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,8725662055,Alaska Air Group,Washington,Alaska%20Air%20Group--N00007781,N00007781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,17114767064,Ally Financial,Michigan,Ally%20Financial--N00012460,N00012460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALSN,4764377285,Allison Transmission,Indiana,Allison%20Transmission--N00029835,N00029835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMED,8645737570,Amedisys Inc,Louisiana,Amedisys%20Inc--N00030622,N00030622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMEH,1130394199,Apollo,California,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG,6266756769,Affiliated Managers Group,Florida,Affiliated%20Managers%20Group--N00035544,N00035544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGN,1.40E+11,Amgen Inc,California,Amgen%20Inc--N00005285,N00005285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,1.56E+12,Amazon.com,Washington,Amazon.com--N00000528,N00000528,Amazon.com--N00032029,N00032029,Amazon.com--N00034453,N00034453,Amazon.com--N00035215,N00035215,Amazon.com--N00035523,N00035523,Amazon.com--N00036999,N00036999,Amazon.com--N00037031,N00037031,Amazon.com--N00038858,N00038858,Amazon.com--N00039327,N00039327,Amazon.com--N00041002,N00041002,Amazon.com--N00041162,N00041162,Amazon.com--N00041606,N00041606,Amazon.com--N00043581,N00043581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APEN,162658882,Apollo,California,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO,11162939036,Apollo Global Management,New York,Apollo%20Global%20Management--N00000270,N00000270,Apollo%20Global%20Management--N00031820,N00031820,Apollo%20Global%20Management--N00033085,N00033085,Apollo%20Global%20Management--N00033363,N00033363,Apollo%20Global%20Management--N00033640,N00033640,Apollo%20Global%20Management--N00035483,N00035483,Apollo%20Global%20Management--N00035492,N00035492,Apollo%20Global%20Management--N00035516,N00035516,Apollo%20Global%20Management--N00035774,N00035774,Apollo%20Global%20Management--N00036944,N00036944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO^A,0,Apollo Global Management,None,Apollo%20Global%20Management--N00000270,N00000270,Apollo%20Global%20Management--N00031820,N00031820,Apollo%20Global%20Management--N00033085,N00033085,Apollo%20Global%20Management--N00033363,N00033363,Apollo%20Global%20Management--N00033640,N00033640,Apollo%20Global%20Management--N00035483,N00035483,Apollo%20Global%20Management--N00035492,N00035492,Apollo%20Global%20Management--N00035516,N00035516,Apollo%20Global%20Management--N00035774,N00035774,Apollo%20Global%20Management--N00036944,N00036944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO^B,0,Apollo Global Management,None,Apollo%20Global%20Management--N00000270,N00000270,Apollo%20Global%20Management--N00031820,N00031820,Apollo%20Global%20Management--N00033085,N00033085,Apollo%20Global%20Management--N00033363,N00033363,Apollo%20Global%20Management--N00033640,N00033640,Apollo%20Global%20Management--N00035483,N00035483,Apollo%20Global%20Management--N00035492,N00035492,Apollo%20Global%20Management--N00035516,N00035516,Apollo%20Global%20Management--N00035774,N00035774,Apollo%20Global%20Management--N00036944,N00036944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APSG,1042759350,Apollo,None,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APXT,582399200,Apex,None,Apex--N00001285,N00001285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APXTU,0,Apex,None,Apex--N00001285,N00001285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APXTW,0,Apex,None,Apex--N00001285,N00001285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2984788242,Antero Resources,Colorado,Antero%20Resources--N00031681,N00031681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,8162610387,Ares Management,California,Ares%20Management--N00030608,N00030608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES^A,0,Ares Management,None,Ares%20Management--N00030608,N00030608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,2052981485,Apollo,New York,Apollo--N00035483,N00035483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLP,736460318,Alliance Resource Partners,Oklahoma,Alliance%20Resource%20Partners--N00031233,N00031233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARW,8096688877,Electronics Inc,Colorado,Electronics%20Inc--N00031226,N00031226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATGE,2019686438,Adtalem Global Education,Illinois,Adtalem%20Global%20Education--N00009888,N00009888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZN,1.29E+11,AstraZeneca PLC,Cambridgeshire,AstraZeneca%20PLC--N00029675,N00029675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZO,28825255690,AutoZone Inc,Tennessee,AutoZone%20Inc--N00025445,N00025445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,1.49E+11,Boeing Co,Illinois,Boeing%20Co--N00001813,N00001813,Boeing%20Co--N00009660,N00009660,Boeing%20Co--N00009724,N00009724,Boeing%20Co--N00009918,N00009918,Boeing%20Co--N00009975,N00009975,Boeing%20Co--N00025095,N00025095,Boeing%20Co--N00025482,N00025482,Boeing%20Co--N00026041,N00026041,Boeing%20Co--N00026914,N00026914,Boeing%20Co--N00028133,N00028133,Boeing%20Co--N00029513,N00029513,Boeing%20Co--N00029891,N00029891,Boeing%20Co--N00030026,N00030026,Boeing%20Co--N00030581,N00030581,Boeing%20Co--N00030693,N00030693,Boeing%20Co--N00030910,N00030910,Boeing%20Co--N00031559,N00031559,Boeing%20Co--N00031857,N00031857,Boeing%20Co--N00031958,N00031958,Boeing%20Co--N00033085,N00033085,Boeing%20Co--N00033539,N00033539,Boeing%20Co--N00033932,N00033932,Boeing%20Co--N00033982,N00033982,Boeing%20Co--N00034453,N00034453,Boeing%20Co--N00035523,N00035523,Boeing%20Co--N00036149,N00036149,Boeing%20Co--N00036275,N00036275,Boeing%20Co--N00036403,N00036403,Boeing%20Co--N00037003,N00037003,Boeing%20Co--N00037185,N00037185,Boeing%20Co--N00038858,N00038858,Boeing%20Co--N00039293,N00039293,Boeing%20Co--N00041606,N00041606,Boeing%20Co--N00042706,N00042706,Boeing%20Co--N00042894,N00042894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,3.23E+11,Bank of America,North Carolina,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^A,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^B,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^E,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^K,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^L,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^M,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^N,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^O,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC^P,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971,Bank%20of%20America--N00035516,N00035516,Bank%20of%20America--N00035792,N00035792,Bank%20of%20America--N00038414,N00038414,Bank%20of%20America--N00038742,N00038742,Bank%20of%20America--N00039551,N00039551,Bank%20of%20America--N00040667,N00040667,Bank%20of%20America--N00043290,N00043290,Bank%20of%20America--N00043541,N00043541,Bank%20of%20America--N00046125,N00046125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAM,66997632987,Brookfield Asset Management,Ontario,Brookfield%20Asset%20Management--N00007727,N00007727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATRA,1657453202,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATRK,1610457192,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBY,28626353389,Best Buy,Minnesota,Best%20Buy--N00027500,N00027500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
