contrib_id,org_name,candidate_cand_crp_id
AFLAC%20Inc--N00024871,AFLAC Inc,N00024871
AFLAC%20Inc--N00027848,AFLAC Inc,N00027848
AFLAC%20Inc--N00030788,AFLAC Inc,N00030788
AFLAC%20Inc--N00032243,AFLAC Inc,N00032243
AFLAC%20Inc--N00032457,AFLAC Inc,N00032457
AFLAC%20Inc--N00033720,AFLAC Inc,N00033720
AFLAC%20Inc--N00035347,AFLAC Inc,N00035347
AG%20Processing--N00027623,AG Processing,N00027623
Agri%20Beef--N00006263,Agri Beef,N00006263
Agri%20Beef--N00041335,Agri Beef,N00041335
"Ahmad,%20Zavitsanos%20et%20al--N00041194","Ahmad, Zavitsanos et al",N00041194
Air%20Line%20Pilots%20Assn--N00002260,Air Line Pilots Assn,N00002260
Air%20Line%20Pilots%20Assn--N00003288,Air Line Pilots Assn,N00003288
Air%20Line%20Pilots%20Assn--N00006789,Air Line Pilots Assn,N00006789
Air%20Line%20Pilots%20Assn--N00009759,Air Line Pilots Assn,N00009759
Air%20Line%20Pilots%20Assn--N00009816,Air Line Pilots Assn,N00009816
Air%20Line%20Pilots%20Assn--N00009920,Air Line Pilots Assn,N00009920
Air%20Line%20Pilots%20Assn--N00024842,Air Line Pilots Assn,N00024842
Air%20Line%20Pilots%20Assn--N00027060,Air Line Pilots Assn,N00027060
Air%20Line%20Pilots%20Assn--N00027523,Air Line Pilots Assn,N00027523
Air%20Line%20Pilots%20Assn--N00030856,Air Line Pilots Assn,N00030856
Air%20Line%20Pilots%20Assn--N00031681,Air Line Pilots Assn,N00031681
Air%20Line%20Pilots%20Assn--N00033274,Air Line Pilots Assn,N00033274
Air%20Line%20Pilots%20Assn--N00033373,Air Line Pilots Assn,N00033373
Air%20Line%20Pilots%20Assn--N00034224,Air Line Pilots Assn,N00034224
Air%20Line%20Pilots%20Assn--N00034254,Air Line Pilots Assn,N00034254
Air%20Line%20Pilots%20Assn--N00036135,Air Line Pilots Assn,N00036135
Air%20Products%20&%20Chemicals%20Inc--N00026335,Air Products & Chemicals Inc,N00026335
Airbnb%20Inc--N00000781,Airbnb Inc,N00000781
Airbus%20Group--N00009920,Airbus Group,N00009920
Aircraft%20Owners%20&%20Pilots%20Assn--N00002260,Aircraft Owners & Pilots Assn,N00002260
Aircraft%20Owners%20&%20Pilots%20Assn--N00009759,Aircraft Owners & Pilots Assn,N00009759
Airlines%20for%20America--N00036274,Airlines for America,N00036274
"Aitken,%20Aitken%20&%20Cohn--N00037260","Aitken, Aitken & Cohn",N00037260
AJ%20Diani%20Construction--N00037015,AJ Diani Construction,N00037015
"Akin,%20Gump%20et%20al--N00001093","Akin, Gump et al",N00001093
"Akin,%20Gump%20et%20al--N00001821","Akin, Gump et al",N00001821
"Akin,%20Gump%20et%20al--N00002097","Akin, Gump et al",N00002097
"Akin,%20Gump%20et%20al--N00006023","Akin, Gump et al",N00006023
"Akin,%20Gump%20et%20al--N00026106","Akin, Gump et al",N00026106
"Akin,%20Gump%20et%20al--N00027751","Akin, Gump et al",N00027751
"Akin,%20Gump%20et%20al--N00029562","Akin, Gump et al",N00029562
"Akin,%20Gump%20et%20al--N00033640","Akin, Gump et al",N00033640
"Akin,%20Gump%20et%20al--N00035278","Akin, Gump et al",N00035278
"Akin,%20Gump%20et%20al--N00035504","Akin, Gump et al",N00035504
"Akin,%20Gump%20et%20al--N00036018","Akin, Gump et al",N00036018
"Akin,%20Gump%20et%20al--N00038285","Akin, Gump et al",N00038285
"Akin,%20Gump%20et%20al--N00040741","Akin, Gump et al",N00040741
"Akin,%20Gump%20et%20al--N00041002","Akin, Gump et al",N00041002
"Akin,%20Gump%20et%20al--N00041394","Akin, Gump et al",N00041394
"Akin,%20Gump%20et%20al--N00041870","Akin, Gump et al",N00041870
Akins%20Crisp%20Public%20Strategies--N00009888,Akins Crisp Public Strategies,N00009888
Akonadi%20Foundation--N00037019,Akonadi Foundation,N00037019
AKT%20Development--N00006863,AKT Development,N00006863
AKT%20Development--N00027751,AKT Development,N00027751
AL%20Grading%20Contractors--N00039090,AL Grading Contractors,N00039090
Alabama%20Farmers%20Federation--N00002674,Alabama Farmers Federation,N00002674
Alabama%20Farmers%20Federation--N00029736,Alabama Farmers Federation,N00029736
Alamo%20PAC--N00002221,Alamo PAC,N00002221
Alan%20Jay%20Automotive--N00042808,Alan Jay Automotive,N00042808
Alaska%20Air%20Group--N00007781,Alaska Air Group,N00007781
Alaska%20Air%20Group--N00009759,Alaska Air Group,N00009759
Albuquerque%20Public%20Schools--N00006561,Albuquerque Public Schools,N00006561
Aldarondo%20&%20Lopez%20Bras%20Psc--N00037615,Aldarondo & Lopez Bras Psc,N00037615
Alexandria%20Community%20Trust--N00001971,Alexandria Community Trust,N00001971
All%20For%20Our%20Country--N00038397,All For Our Country,N00038397
ALLCare%20Alliance%20Group--N00033085,ALLCare Alliance Group,N00033085
Allegiance%20Health%20Management--N00039106,Allegiance Health Management,N00039106
Allen%20&%20Co--N00027503,Allen & Co,N00027503
Allete%20Inc--N00041511,Allete Inc,N00041511
Alliance%20Building%20Solutions--N00033814,Alliance Building Solutions,N00033814
Alliance%20for%20Pharmacy%20Compounding--N00032029,Alliance for Pharmacy Compounding,N00032029
Alliance%20Resource%20Partners--N00031233,Alliance Resource Partners,N00031233
Alliantgroup--N00026460,Alliantgroup,N00026460
Allied%20Beverage%20Group--N00039122,Allied Beverage Group,N00039122
Allied%20Feather%20&%20Down--N00033631,Allied Feather & Down,N00033631
Allied%20Group--N00029285,Allied Group,N00029285
Allied%20Group--N00031545,Allied Group,N00031545
Allison%20Transmission--N00029835,Allison Transmission,N00029835
Allstate%20Insurance--N00026914,Allstate Insurance,N00026914
Allstate%20Insurance--N00030581,Allstate Insurance,N00030581
Allstate%20Insurance--N00030967,Allstate Insurance,N00030967
Allstate%20Insurance--N00031557,Allstate Insurance,N00031557
Ally%20Financial--N00012460,Ally Financial,N00012460
Ally%20Financial--N00024871,Ally Financial,N00024871
Ally%20Financial--N00030967,Ally Financial,N00030967
Ally%20Financial--N00038429,Ally Financial,N00038429
Almo%20Corp--N00035307,Almo Corp,N00035307
Aloha%20Partners--N00038397,Aloha Partners,N00038397
Alphabet%20Inc--N00000270,Alphabet Inc,N00000270
Alphabet%20Inc--N00000528,Alphabet Inc,N00000528
Alphabet%20Inc--N00004558,Alphabet Inc,N00004558
Alphabet%20Inc--N00006134,Alphabet Inc,N00006134
Alphabet%20Inc--N00007335,Alphabet Inc,N00007335
Alphabet%20Inc--N00007360,Alphabet Inc,N00007360
Alphabet%20Inc--N00007479,Alphabet Inc,N00007479
Alphabet%20Inc--N00009585,Alphabet Inc,N00009585
Alphabet%20Inc--N00024817,Alphabet Inc,N00024817
Alphabet%20Inc--N00026427,Alphabet Inc,N00026427
Alphabet%20Inc--N00028122,Alphabet Inc,N00028122
Alphabet%20Inc--N00029277,Alphabet Inc,N00029277
Alphabet%20Inc--N00029562,Alphabet Inc,N00029562
Alphabet%20Inc--N00030752,Alphabet Inc,N00030752
Alphabet%20Inc--N00033492,Alphabet Inc,N00033492
Alphabet%20Inc--N00034044,Alphabet Inc,N00034044
Alphabet%20Inc--N00035267,Alphabet Inc,N00035267
Alphabet%20Inc--N00035544,Alphabet Inc,N00035544
Alphabet%20Inc--N00037161,Alphabet Inc,N00037161
Alphabet%20Inc--N00040666,Alphabet Inc,N00040666
Alphabet%20Inc--N00040667,Alphabet Inc,N00040667
Alphabet%20Inc--N00040741,Alphabet Inc,N00040741
Alphabet%20Inc--N00040853,Alphabet Inc,N00040853
Alphabet%20Inc--N00040888,Alphabet Inc,N00040888
Alphabet%20Inc--N00040915,Alphabet Inc,N00040915
Alphabet%20Inc--N00041104,Alphabet Inc,N00041104
Alphabet%20Inc--N00041162,Alphabet Inc,N00041162
Alphabet%20Inc--N00041221,Alphabet Inc,N00041221
Alphabet%20Inc--N00041357,Alphabet Inc,N00041357
Alphabet%20Inc--N00041370,Alphabet Inc,N00041370
Alphabet%20Inc--N00041385,Alphabet Inc,N00041385
Alphabet%20Inc--N00041394,Alphabet Inc,N00041394
Alphabet%20Inc--N00041561,Alphabet Inc,N00041561
Alphabet%20Inc--N00041569,Alphabet Inc,N00041569
Alphabet%20Inc--N00041668,Alphabet Inc,N00041668
Alphabet%20Inc--N00041843,Alphabet Inc,N00041843
Alphabet%20Inc--N00042649,Alphabet Inc,N00042649
Alphabet%20Inc--N00043581,Alphabet Inc,N00043581
Alro%20Steel--N00026368,Alro Steel,N00026368
Alsco%20Inc--N00042013,Alsco Inc,N00042013
Alta%20Resources--N00039330,Alta Resources,N00039330
Altria%20Group--N00002221,Altria Group,N00002221
Altria%20Group--N00002674,Altria Group,N00002674
Altria%20Group--N00026314,Altria Group,N00026314
Altria%20Group--N00026631,Altria Group,N00026631
Altria%20Group--N00027035,Altria Group,N00027035
Altria%20Group--N00030071,Altria Group,N00030071
Altria%20Group--N00032029,Altria Group,N00032029
Altria%20Group--N00033527,Altria Group,N00033527
Altria%20Group--N00039327,Altria Group,N00039327
Altria%20Group--N00041418,Altria Group,N00041418
Aluminum%20Assn--N00031227,Aluminum Assn,N00031227
Amalgamated%20Transit%20Union--N00001692,Amalgamated Transit Union,N00001692
Amalgamated%20Transit%20Union--N00002260,Amalgamated Transit Union,N00002260
Amalgamated%20Transit%20Union--N00006789,Amalgamated Transit Union,N00006789
Amalgamated%20Transit%20Union--N00009759,Amalgamated Transit Union,N00009759
Amalgamated%20Transit%20Union--N00032019,Amalgamated Transit Union,N00032019
Amalgamated%20Transit%20Union--N00034639,Amalgamated Transit Union,N00034639
Amalgamated%20Transit%20Union--N00036158,Amalgamated Transit Union,N00036158
Amalgamated%20Transit%20Union--N00036999,Amalgamated Transit Union,N00036999
Amalgamated%20Transit%20Union--N00042114,Amalgamated Transit Union,N00042114
Amarillo%20National%20Bank--N00006052,Amarillo National Bank,N00006052
Amazon.com--N00000528,Amazon.com,N00000528
Amazon.com--N00001971,Amazon.com,N00001971
Amazon.com--N00002097,Amazon.com,N00002097
Amazon.com--N00002147,Amazon.com,N00002147
Amazon.com--N00006052,Amazon.com,N00006052
Amazon.com--N00007360,Amazon.com,N00007360
Amazon.com--N00007833,Amazon.com,N00007833
Amazon.com--N00008046,Amazon.com,N00008046
Amazon.com--N00028152,Amazon.com,N00028152
Amazon.com--N00029891,Amazon.com,N00029891
Amazon.com--N00030693,Amazon.com,N00030693
Amazon.com--N00031877,Amazon.com,N00031877
Amazon.com--N00032029,Amazon.com,N00032029
Amazon.com--N00034453,Amazon.com,N00034453
Amazon.com--N00035215,Amazon.com,N00035215
Amazon.com--N00035523,Amazon.com,N00035523
Amazon.com--N00036999,Amazon.com,N00036999
Amazon.com--N00037031,Amazon.com,N00037031
Amazon.com--N00038858,Amazon.com,N00038858
Amazon.com--N00039327,Amazon.com,N00039327
Amazon.com--N00041002,Amazon.com,N00041002
Amazon.com--N00041162,Amazon.com,N00041162
Amazon.com--N00041606,Amazon.com,N00041606
Amazon.com--N00043581,Amazon.com,N00043581
Amblin%20Partners--N00026106,Amblin Partners,N00026106
Amedisys%20Inc--N00030622,Amedisys Inc,N00030622
Amerasia%20Bank--N00033220,Amerasia Bank,N00033220
Ameren%20Corp--N00030667,Ameren Corp,N00030667
Ameren%20Corp--N00030676,Ameren Corp,N00030676
Ameren%20Corp--N00033106,Ameren Corp,N00033106
Ameren%20Corp--N00035282,Ameren Corp,N00035282
America's%20Communication%20Assn--N00000515,America's Communication Assn,N00000515
America's%20Communication%20Assn--N00001373,America's Communication Assn,N00001373
America's%20Communication%20Assn--N00012233,America's Communication Assn,N00012233
America's%20Communication%20Assn--N00026314,America's Communication Assn,N00026314
America's%20Communication%20Assn--N00027459,America's Communication Assn,N00027459
America's%20Communication%20Assn--N00030071,America's Communication Assn,N00030071
America's%20Communication%20Assn--N00032088,America's Communication Assn,N00032088
American%20Academy%20of%20Dermatology%20Assn--N00009888,American Academy of Dermatology Assn,N00009888
American%20Academy%20of%20Dermatology%20Assn--N00025219,American Academy of Dermatology Assn,N00025219
American%20Academy%20of%20Dermatology%20Assn--N00027060,American Academy of Dermatology Assn,N00027060
American%20Academy%20of%20Dermatology%20Assn--N00029147,American Academy of Dermatology Assn,N00029147
American%20Academy%20of%20Dermatology%20Assn--N00032029,American Academy of Dermatology Assn,N00032029
American%20Academy%20of%20Dermatology%20Assn--N00043242,American Academy of Dermatology Assn,N00043242
American%20Academy%20of%20Emergency%20Medicine--N00006236,American Academy of Emergency Medicine,N00006236
American%20Academy%20of%20Family%20Physicians--N00004724,American Academy of Family Physicians,N00004724
American%20Academy%20of%20Neurology--N00032029,American Academy of Neurology,N00032029
American%20Academy%20of%20Ophthalmology--N00025219,American Academy of Ophthalmology,N00025219
American%20Academy%20of%20Ophthalmology--N00032029,American Academy of Ophthalmology,N00032029
American%20Academy%20of%20Ophthalmology--N00043242,American Academy of Ophthalmology,N00043242
American%20Academy%20of%20Ophthalmology--N00044027,American Academy of Ophthalmology,N00044027
American%20Academy%20of%20Orthopaedic%20Surgeons--N00024871,American Academy of Orthopaedic Surgeons,N00024871
American%20Academy%20of%20Orthopaedic%20Surgeons--N00029147,American Academy of Orthopaedic Surgeons,N00029147
American%20Academy%20of%20Orthopaedic%20Surgeons--N00030676,American Academy of Orthopaedic Surgeons,N00030676
American%20Academy%20of%20Orthopaedic%20Surgeons--N00033832,American Academy of Orthopaedic Surgeons,N00033832
American%20Academy%20of%20Orthopaedic%20Surgeons--N00036633,American Academy of Orthopaedic Surgeons,N00036633
American%20Academy%20of%20Orthopaedic%20Surgeons--N00037442,American Academy of Orthopaedic Surgeons,N00037442
American%20Academy%20of%20Orthopaedic%20Surgeons--N00043242,American Academy of Orthopaedic Surgeons,N00043242
American%20Academy%20of%20Pediatric%20Dentistry--N00005736,American Academy of Pediatric Dentistry,N00005736
American%20Academy%20of%20Pediatric%20Dentistry--N00006263,American Academy of Pediatric Dentistry,N00006263
American%20Academy%20of%20Pediatric%20Dentistry--N00026961,American Academy of Pediatric Dentistry,N00026961
American%20Airlines%20Group--N00003280,American Airlines Group,N00003280
American%20Airlines%20Group--N00007781,American Airlines Group,N00007781
American%20Airlines%20Group--N00009660,American Airlines Group,N00009660
American%20Airlines%20Group--N00033982,American Airlines Group,N00033982
American%20Assn/Oral%20&%20Maxillofacial%20Surg--N00030771,American Assn/Oral & Maxillofacial Surg,N00030771
American%20Assn%20for%20Justice--N00000078,American Assn for Justice,N00000078
American%20Assn%20for%20Justice--N00001799,American Assn for Justice,N00001799
American%20Assn%20for%20Justice--N00001813,American Assn for Justice,N00001813
American%20Assn%20for%20Justice--N00002260,American Assn for Justice,N00002260
American%20Assn%20for%20Justice--N00002893,American Assn for Justice,N00002893
American%20Assn%20for%20Justice--N00004724,American Assn for Justice,N00004724
American%20Assn%20for%20Justice--N00005818,American Assn for Justice,N00005818
American%20Assn%20for%20Justice--N00006023,American Assn for Justice,N00006023
American%20Assn%20for%20Justice--N00006897,American Assn for Justice,N00006897
American%20Assn%20for%20Justice--N00009604,American Assn for Justice,N00009604
American%20Assn%20for%20Justice--N00027848,American Assn for Justice,N00027848
American%20Assn%20for%20Justice--N00029649,American Assn for Justice,N00029649
American%20Assn%20for%20Justice--N00031317,American Assn for Justice,N00031317
American%20Assn%20for%20Justice--N00031557,American Assn for Justice,N00031557
American%20Assn%20for%20Justice--N00032019,American Assn for Justice,N00032019
American%20Assn%20for%20Justice--N00037036,American Assn for Justice,N00037036
American%20Assn%20for%20Justice--N00039327,American Assn for Justice,N00039327
American%20Assn%20for%20Justice--N00042114,American Assn for Justice,N00042114
American%20Assn%20for%20Justice--N00042808,American Assn for Justice,N00042808
American%20Assn%20of%20Clinical%20Urologists--N00006249,American Assn of Clinical Urologists,N00006249
American%20Assn%20of%20Crop%20Insurers--N00026041,American Assn of Crop Insurers,N00026041
American%20Assn%20of%20Crop%20Insurers--N00029736,American Assn of Crop Insurers,N00029736
American%20Assn%20of%20Nurse%20Anesthetists--N00001758,American Assn of Nurse Anesthetists,N00001758
American%20Assn%20of%20Nurse%20Anesthetists--N00004724,American Assn of Nurse Anesthetists,N00004724
American%20Assn%20of%20Nurse%20Anesthetists--N00039293,American Assn of Nurse Anesthetists,N00039293
American%20Assn%20of%20Orthodontists--N00038809,American Assn of Orthodontists,N00038809
American%20Bankers%20Assn--N00003473,American Bankers Assn,N00003473
American%20Bankers%20Assn--N00004291,American Bankers Assn,N00004291
American%20Bankers%20Assn--N00005559,American Bankers Assn,N00005559
American%20Bankers%20Assn--N00006263,American Bankers Assn,N00006263
American%20Bankers%20Assn--N00006897,American Bankers Assn,N00006897
American%20Bankers%20Assn--N00012233,American Bankers Assn,N00012233
American%20Bankers%20Assn--N00024871,American Bankers Assn,N00024871
American%20Bankers%20Assn--N00025445,American Bankers Assn,N00025445
American%20Bankers%20Assn--N00026041,American Bankers Assn,N00026041
American%20Bankers%20Assn--N00026631,American Bankers Assn,N00026631
American%20Bankers%20Assn--N00026914,American Bankers Assn,N00026914
American%20Bankers%20Assn--N00027623,American Bankers Assn,N00027623
American%20Bankers%20Assn--N00029416,American Bankers Assn,N00029416
American%20Bankers%20Assn--N00029662,American Bankers Assn,N00029662
American%20Bankers%20Assn--N00029675,American Bankers Assn,N00029675
American%20Bankers%20Assn--N00029736,American Bankers Assn,N00029736
American%20Bankers%20Assn--N00030026,American Bankers Assn,N00030026
American%20Bankers%20Assn--N00030752,American Bankers Assn,N00030752
American%20Bankers%20Assn--N00030768,American Bankers Assn,N00030768
American%20Bankers%20Assn--N00030770,American Bankers Assn,N00030770
American%20Bankers%20Assn--N00031128,American Bankers Assn,N00031128
American%20Bankers%20Assn--N00031177,American Bankers Assn,N00031177
American%20Bankers%20Assn--N00031557,American Bankers Assn,N00031557
American%20Bankers%20Assn--N00031857,American Bankers Assn,N00031857
American%20Bankers%20Assn--N00031958,American Bankers Assn,N00031958
American%20Bankers%20Assn--N00032088,American Bankers Assn,N00032088
American%20Bankers%20Assn--N00032457,American Bankers Assn,N00032457
American%20Bankers%20Assn--N00035282,American Bankers Assn,N00035282
American%20Bankers%20Assn--N00035527,American Bankers Assn,N00035527
American%20Bankers%20Assn--N00036274,American Bankers Assn,N00036274
American%20Bankers%20Assn--N00036275,American Bankers Assn,N00036275
American%20Bankers%20Assn--N00037003,American Bankers Assn,N00037003
American%20Bankers%20Assn--N00037185,American Bankers Assn,N00037185
American%20Bankers%20Assn--N00037260,American Bankers Assn,N00037260
American%20Bankers%20Assn--N00037442,American Bankers Assn,N00037442
American%20Bankers%20Assn--N00038429,American Bankers Assn,N00038429
American%20Bankers%20Assn--N00038767,American Bankers Assn,N00038767
American%20Bankers%20Assn--N00038809,American Bankers Assn,N00038809
American%20Bankers%20Assn--N00040733,American Bankers Assn,N00040733
American%20Bankers%20Assn--N00040829,American Bankers Assn,N00040829
American%20Bankers%20Assn--N00041335,American Bankers Assn,N00041335
American%20Bankers%20Assn--N00041599,American Bankers Assn,N00041599
American%20Bankers%20Assn--N00041871,American Bankers Assn,N00041871
American%20Bankers%20Assn--N00042237,American Bankers Assn,N00042237
American%20Bankers%20Assn--N00042296,American Bankers Assn,N00042296
American%20Bankers%20Assn--N00042715,American Bankers Assn,N00042715
American%20Bankers%20Assn--N00042868,American Bankers Assn,N00042868
American%20Bankers%20Assn--N00043379,American Bankers Assn,N00043379
American%20Bankers%20Assn--N00043541,American Bankers Assn,N00043541
American%20Bankers%20Assn--N00044065,American Bankers Assn,N00044065
American%20Beverage%20Assn--N00036633,American Beverage Assn,N00036633
American%20Cemetery--N00030191,American Cemetery,N00030191
American%20Chemistry%20Council--N00004961,American Chemistry Council,N00004961
American%20Chemistry%20Council--N00006561,American Chemistry Council,N00006561
American%20Chiropractic%20Assn--N00006023,American Chiropractic Assn,N00006023
American%20Chiropractic%20Assn--N00027060,American Chiropractic Assn,N00027060
American%20Clinical%20Laboratory%20Assn--N00033591,American Clinical Laboratory Assn,N00033591
American%20College%20of%20Cardiology--N00025219,American College of Cardiology,N00025219
American%20College%20of%20Cardiology--N00030717,American College of Cardiology,N00030717
American%20College%20of%20Emergency%20Physicians--N00025219,American College of Emergency Physicians,N00025219
American%20College%20of%20Emergency%20Physicians--N00035215,American College of Emergency Physicians,N00035215
American%20College%20of%20Emergency%20Physicians--N00043207,American College of Emergency Physicians,N00043207
American%20College%20of%20Radiology--N00025219,American College of Radiology,N00025219
American%20College%20of%20Radiology--N00025482,American College of Radiology,N00025482
American%20College%20of%20Radiology--N00029147,American College of Radiology,N00029147
American%20College%20of%20Radiology--N00035215,American College of Radiology,N00035215
American%20College%20of%20Radiology--N00041808,American College of Radiology,N00041808
American%20College%20of%20Radiology--N00043242,American College of Radiology,N00043242
American%20College%20of%20Radiology--N00044027,American College of Radiology,N00044027
American%20College%20of%20Rheumatology--N00031681,American College of Rheumatology,N00031681
American%20Continental%20Group--N00036999,American Continental Group,N00036999
American%20Council%20of%20Engineering%20Cos--N00001692,American Council of Engineering Cos,N00001692
American%20Council%20of%20Engineering%20Cos--N00004291,American Council of Engineering Cos,N00004291
American%20Council%20of%20Engineering%20Cos--N00027566,American Council of Engineering Cos,N00027566
American%20Council%20of%20Engineering%20Cos--N00030770,American Council of Engineering Cos,N00030770
American%20Council%20of%20Engineering%20Cos--N00035527,American Council of Engineering Cos,N00035527
American%20Council%20of%20Life%20Insurers--N00000575,American Council of Life Insurers,N00000575
American%20Council%20of%20Life%20Insurers--N00002593,American Council of Life Insurers,N00002593
American%20Council%20of%20Life%20Insurers--N00012460,American Council of Life Insurers,N00012460
American%20Council%20of%20Life%20Insurers--N00026790,American Council of Life Insurers,N00026790
American%20Council%20of%20Life%20Insurers--N00026914,American Council of Life Insurers,N00026914
American%20Council%20of%20Life%20Insurers--N00031647,American Council of Life Insurers,N00031647
American%20Crystal%20Sugar--N00000179,American Crystal Sugar,N00000179
American%20Crystal%20Sugar--N00000575,American Crystal Sugar,N00000575
American%20Crystal%20Sugar--N00002674,American Crystal Sugar,N00002674
American%20Crystal%20Sugar--N00002884,American Crystal Sugar,N00002884
American%20Crystal%20Sugar--N00003225,American Crystal Sugar,N00003225
American%20Crystal%20Sugar--N00003473,American Crystal Sugar,N00003473
American%20Crystal%20Sugar--N00004558,American Crystal Sugar,N00004558
American%20Crystal%20Sugar--N00005559,American Crystal Sugar,N00005559
American%20Crystal%20Sugar--N00006052,American Crystal Sugar,N00006052
American%20Crystal%20Sugar--N00006263,American Crystal Sugar,N00006263
American%20Crystal%20Sugar--N00006897,American Crystal Sugar,N00006897
American%20Crystal%20Sugar--N00007021,American Crystal Sugar,N00007021
American%20Crystal%20Sugar--N00012942,American Crystal Sugar,N00012942
American%20Crystal%20Sugar--N00013817,American Crystal Sugar,N00013817
American%20Crystal%20Sugar--N00013855,American Crystal Sugar,N00013855
American%20Crystal%20Sugar--N00024842,American Crystal Sugar,N00024842
